Date,Stock,GapSize,market_cap,OpenPrice,OpenUnadjusted,PreVolume,PreHigh,PreBreakTime,RVOL10D,GapSizeRel,$volume,MaxChange,Day1,Day2,Overnight,2Day,Day1Trade,Day2Trade,OvernightTrade,2DayTrade,Day1TradeCum,Day2TradeCum,OvernightTradeCum,2DayTradeCum
2020-04-09,TBLT,43.86959603118355,21709404.0153,2.03,0.203,3027014.8000000003,2.4,,2.841861308417969,4.463814533692253,194470566.17499998,3.4482758620689724,0.1729064039408866,0.04088669950738915,-0.009852216748768483,0.20394088669950727,0.01679064039408866,0.0035886699507389156,-0.0014852216748768483,0.019894088669950728,11.879781661846245,5.718800953472081,-3.3114275749147737,17.556155040403617
2020-04-09,CNSP,69.09090909090911,93256029.78,4.65,4.65,204350.0,5.5,09:32:00,8.513644777391631,7.935810330349584,15210559.005,20.860215053763433,0.28172043010752695,0.09677419354838712,-0.17419354838709686,0.20430107526881722,0.027672043010752698,0.009177419354838711,-0.017919354838709687,0.01993010752688172,11.907453704856998,5.72797837282692,-3.3293469297534832,17.5760851479305
2020-04-09,CYTK,15.282131661442012,1172234535.15,14.71,14.71,4132.0,14.98,,1.5232300491103212,2.744368623927981,17558255.0,0.9517335146159045,0.05574439157036031,0.012236573759347363,-0.011556764106050301,0.05642420122365738,0.005074439157036032,0.0007236573759347364,-0.0016556764106050303,0.005142420122365738,11.912528144014034,5.728702030202855,-3.331002606164088,17.581227568052864
2020-04-09,DLPN,28.617363344051448,3996530.5,3.0,0.6,655.8,3.95,,2.017185047321515,3.0225338155700356,216983.25,0.0,0.16666666666666666,0.029166666666666785,-0.004166666666666726,0.19166666666666674,0.016166666666666666,0.0024166666666666785,-0.0009166666666666726,0.018666666666666675,11.928694810680701,5.731118696869522,-3.3319192728307545,17.59989423471953
2020-04-09,TLSA,70.50691244239631,330840889.59999996,1.48,3.7,3864865.0,2.0,,8.427684009419501,7.236339030484914,11160426.1,2.7027027027026973,0.081081081081081,0.04594594594594599,0.04054054054054058,0.16756756756756758,0.0076081081081081,0.004094594594594599,0.003554054054054058,0.01625675675675676,11.93630291878881,5.735213291464116,-3.3283652187767006,17.61615099147629
2020-04-13,CMT,26.315789473684227,9861600.379999999,1.44,1.44,0.0,,,0.9490038142413041,4.886475876601375,34348.58,0.0,0.15277777777777776,0.08333333333333341,-0.05555555555555561,0.18055555555555558,0.014777777777777777,0.007833333333333341,-0.0060555555555555605,0.017555555555555557,11.951080696566587,5.743046624797449,-3.3344207743322563,17.633706547031846
2020-04-13,CNSP,24.251497005988032,103307577.9,4.15,4.15,75187.0,4.5,,1.2647539343661358,2.785536954121289,2528312.3000000003,0.8337349397590232,0.10843373493975907,0.08915662650602411,0.004819277108433739,0.20240963855421693,0.010343373493975907,0.008415662650602411,-1.807228915662613e-05,0.019740963855421692,11.961424070060563,5.751462287448051,-3.334438846621413,17.65344751088727
2020-04-13,CTSO,30.349013657056155,347805184.0,8.59,8.59,536239.0,9.64,,4.338228143332876,5.716981942719243,51212060.865,9.429569266589066,0.06868451688009311,0.05238649592549478,-0.019790454016298014,0.10128055878928989,0.006368451688009311,0.004738649592549479,-0.0024790454016298015,0.009628055878928989,11.967792521748573,5.7562009370406,-3.3369178920230427,17.663075566766196
2020-04-13,BIOC,59.932659932659924,10145768.990400001,5.7,0.57,1431177.3,7.7,,6.070734706842624,6.617133649468513,857814357.258,19.298245614035082,-0.05684210526315787,0.06315789473684216,0.20070175438596494,0.2070175438596492,-0.006184210526315787,0.005815789473684217,0.019570175438596495,0.020201754385964922,11.961608311222257,5.762016726514284,-3.3173477165844463,17.68327732115216
2020-04-13,BCRX,30.434782608695677,422850001.85,2.7,2.7,2674695.0,3.17,,3.7632057077435217,4.68427843199111,68210390.4,1.8518518518518379,0.12962962962962965,-0.12222222222222208,-0.029629629629629655,-0.022222222222222077,0.012462962962962966,-0.012722222222222208,-0.003462962962962966,-0.002722222222222208,11.97407127418522,5.749294504292062,-3.3208106795474093,17.68055509892994
